site,depth,parents,candidate_past_size,hasse_frontier_support_cut,support_width,introduced_conflict,selector_mode,selector_tie_policy,eligible_count,selected_count,strict_ready_count,strict_supported_count,unsupported_count,strict_committed_count,strict_blocked_count,selector_committed_count,selector_rejected_count,selector_stalemate_count,selector_selected_blocked_count,strict_committed_motifs,strict_blocked_ready_motifs,selector_committed_motifs,selector_rejected_motifs,selector_stalemate_motifs,unsupported_motifs,support_failure_histogram
1,1,[0],1,[0],1,True,greedy,lexicographic,4,3,4,4,0,2,2,3,1,0,0,"[""genesis_seed"", ""renewal_1""]","[""choice_A_1"", ""choice_B_1""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1""]","[""choice_B_1""]",[],[],{}
2,2,[1],2,[1],1,True,greedy,lexicographic,7,5,7,7,0,3,4,5,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
3,3,[2],3,[2],1,False,greedy,lexicographic,8,6,8,8,0,4,4,6,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
4,4,[3],4,[3],1,False,greedy,lexicographic,9,7,9,9,0,5,4,7,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
5,5,[4],5,[4],1,False,greedy,lexicographic,10,8,10,10,0,6,4,8,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
6,6,"[3, 5]",6,[5],1,False,greedy,lexicographic,11,9,11,11,0,7,4,9,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
7,7,"[2, 6]",7,[6],1,False,greedy,lexicographic,12,10,12,12,0,8,4,10,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
8,8,[7],8,[7],1,False,greedy,lexicographic,13,11,13,13,0,9,4,11,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
9,9,"[3, 8]",9,[8],1,False,greedy,lexicographic,14,12,14,14,0,10,4,12,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
10,10,"[4, 9]",10,[9],1,False,greedy,lexicographic,15,13,15,15,0,11,4,13,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
11,11,[10],11,[10],1,False,greedy,lexicographic,16,14,16,16,0,12,4,14,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
12,12,[11],12,[11],1,True,greedy,lexicographic,17,15,17,17,2,13,4,15,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12""]","[""choice_B_1"", ""choice_B_2""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
13,13,[12],13,[12],1,False,greedy,lexicographic,18,16,18,18,2,14,4,16,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13""]","[""choice_B_1"", ""choice_B_2""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
14,14,"[9, 13]",14,[13],1,True,greedy,lexicographic,21,18,21,21,2,15,6,18,3,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2"", ""choice_A_14"", ""choice_B_14""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""choice_A_14""]","[""choice_B_1"", ""choice_B_2"", ""choice_B_14""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
15,15,"[4, 14]",15,[14],1,False,greedy,lexicographic,22,19,22,22,2,16,6,19,3,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2"", ""choice_A_14"", ""choice_B_14""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""choice_A_14"", ""renewal_15""]","[""choice_B_1"", ""choice_B_2"", ""choice_B_14""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
16,16,[15],16,[15],1,False,greedy,lexicographic,23,20,23,23,2,17,6,20,3,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15"", ""renewal_16""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2"", ""choice_A_14"", ""choice_B_14""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""choice_A_14"", ""renewal_15"", ""renewal_16""]","[""choice_B_1"", ""choice_B_2"", ""choice_B_14""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
17,17,"[13, 16]",17,[16],1,False,greedy,lexicographic,24,21,24,24,2,18,6,21,3,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15"", ""renewal_16"", ""renewal_17""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2"", ""choice_A_14"", ""choice_B_14""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""choice_A_14"", ""renewal_15"", ""renewal_16"", ""renewal_17""]","[""choice_B_1"", ""choice_B_2"", ""choice_B_14""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
18,18,[17],18,[17],1,False,greedy,lexicographic,25,22,25,25,2,19,6,22,3,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2"", ""choice_A_14"", ""choice_B_14""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""choice_A_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18""]","[""choice_B_1"", ""choice_B_2"", ""choice_B_14""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
19,19,[18],19,[18],1,True,greedy,lexicographic,28,24,28,28,2,20,8,24,4,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2"", ""choice_A_14"", ""choice_B_14"", ""choice_A_19"", ""choice_B_19""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""choice_A_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19"", ""choice_A_19""]","[""choice_B_1"", ""choice_B_2"", ""choice_B_14"", ""choice_B_19""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
20,20,[19],20,[19],1,False,greedy,lexicographic,29,25,29,29,2,21,8,25,4,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19"", ""renewal_20""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2"", ""choice_A_14"", ""choice_B_14"", ""choice_A_19"", ""choice_B_19""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""choice_A_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19"", ""choice_A_19"", ""renewal_20""]","[""choice_B_1"", ""choice_B_2"", ""choice_B_14"", ""choice_B_19""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
21,21,[20],21,[20],1,True,greedy,lexicographic,32,27,32,32,2,22,10,27,5,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19"", ""renewal_20"", ""renewal_21""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2"", ""choice_A_14"", ""choice_B_14"", ""choice_A_19"", ""choice_B_19"", ""choice_A_21"", ""choice_B_21""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""choice_A_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19"", ""choice_A_19"", ""renewal_20"", ""renewal_21"", ""choice_A_21""]","[""choice_B_1"", ""choice_B_2"", ""choice_B_14"", ""choice_B_19"", ""choice_B_21""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
22,22,[21],22,[21],1,False,greedy,lexicographic,33,28,33,33,2,23,10,28,5,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19"", ""renewal_20"", ""renewal_21"", ""renewal_22""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2"", ""choice_A_14"", ""choice_B_14"", ""choice_A_19"", ""choice_B_19"", ""choice_A_21"", ""choice_B_21""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""choice_A_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19"", ""choice_A_19"", ""renewal_20"", ""renewal_21"", ""choice_A_21"", ""renewal_22""]","[""choice_B_1"", ""choice_B_2"", ""choice_B_14"", ""choice_B_19"", ""choice_B_21""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
23,23,[22],23,[22],1,False,greedy,lexicographic,34,29,34,34,2,24,10,29,5,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19"", ""renewal_20"", ""renewal_21"", ""renewal_22"", ""renewal_23""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2"", ""choice_A_14"", ""choice_B_14"", ""choice_A_19"", ""choice_B_19"", ""choice_A_21"", ""choice_B_21""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""choice_A_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19"", ""choice_A_19"", ""renewal_20"", ""renewal_21"", ""choice_A_21"", ""renewal_22"", ""renewal_23""]","[""choice_B_1"", ""choice_B_2"", ""choice_B_14"", ""choice_B_19"", ""choice_B_21""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
24,24,[23],24,[23],1,False,greedy,lexicographic,35,30,35,35,2,25,10,30,5,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19"", ""renewal_20"", ""renewal_21"", ""renewal_22"", ""renewal_23"", ""renewal_24""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2"", ""choice_A_14"", ""choice_B_14"", ""choice_A_19"", ""choice_B_19"", ""choice_A_21"", ""choice_B_21""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10"", ""renewal_11"", ""renewal_12"", ""renewal_13"", ""renewal_14"", ""choice_A_14"", ""renewal_15"", ""renewal_16"", ""renewal_17"", ""renewal_18"", ""renewal_19"", ""choice_A_19"", ""renewal_20"", ""renewal_21"", ""choice_A_21"", ""renewal_22"", ""renewal_23"", ""renewal_24""]","[""choice_B_1"", ""choice_B_2"", ""choice_B_14"", ""choice_B_19"", ""choice_B_21""]",[],"[""choice_A_12"", ""choice_B_12""]","{""ledger_local_gate"": 1, ""orientation_closure_gate"": 1}"
