mode,severity,threshold_fraction,strict_readiness_loss_rate,family_readiness_loss_rate,loss_reduction_vs_strict,family_rescue_rate,mean_family_size
edge_dropout,0.0,0.25,0.0,0.0,0.0,0.0,2.125833
edge_dropout,0.0,0.5,0.0,0.0,0.0,0.0,2.4925
edge_dropout,0.0,0.75,0.0,0.0,0.0,0.0,1.55
edge_dropout,0.0,1.0,0.0,0.0,0.0,0.0,1.0
edge_dropout,0.25,0.25,0.76125,0.403333,0.357917,0.357917,2.125833
edge_dropout,0.25,0.5,0.76125,0.439583,0.321667,0.321667,2.4925
edge_dropout,0.25,0.75,0.76125,0.67625,0.085,0.085,1.55
edge_dropout,0.25,1.0,0.76125,0.76125,0.0,0.0,1.0
edge_dropout,0.5,0.25,0.814583,0.372917,0.441666,0.441667,2.125833
edge_dropout,0.5,0.5,0.814583,0.51375,0.300833,0.300833,2.4925
edge_dropout,0.5,0.75,0.814583,0.769583,0.045,0.045,1.55
edge_dropout,0.5,1.0,0.814583,0.814583,0.0,0.0,1.0
edge_dropout,0.75,0.25,0.994167,0.685833,0.308334,0.308333,2.125833
edge_dropout,0.75,0.5,0.994167,0.871667,0.1225,0.1225,2.4925
edge_dropout,0.75,0.75,0.994167,0.991667,0.0025,0.0025,1.55
edge_dropout,0.75,1.0,0.994167,0.994167,0.0,0.0,1.0
edge_dropout,1.0,0.25,1.0,1.0,0.0,0.0,2.125833
edge_dropout,1.0,0.5,1.0,1.0,0.0,0.0,2.4925
edge_dropout,1.0,0.75,1.0,1.0,0.0,0.0,1.55
edge_dropout,1.0,1.0,1.0,1.0,0.0,0.0,1.0
frontier_dropout,0.0,0.25,0.0,0.0,0.0,0.0,2.125833
frontier_dropout,0.0,0.5,0.0,0.0,0.0,0.0,2.4925
frontier_dropout,0.0,0.75,0.0,0.0,0.0,0.0,1.55
frontier_dropout,0.0,1.0,0.0,0.0,0.0,0.0,1.0
frontier_dropout,0.25,0.25,1.0,0.439167,0.560833,0.560833,2.125833
frontier_dropout,0.25,0.5,1.0,0.439167,0.560833,0.560833,2.4925
frontier_dropout,0.25,0.75,1.0,0.816667,0.183333,0.183333,1.55
frontier_dropout,0.25,1.0,1.0,1.0,0.0,0.0,1.0
frontier_dropout,0.5,0.25,1.0,0.439167,0.560833,0.560833,2.125833
frontier_dropout,0.5,0.5,1.0,0.6375,0.3625,0.3625,2.4925
frontier_dropout,0.5,0.75,1.0,1.0,0.0,0.0,1.55
frontier_dropout,0.5,1.0,1.0,1.0,0.0,0.0,1.0
frontier_dropout,0.75,0.25,1.0,0.816667,0.183333,0.183333,2.125833
frontier_dropout,0.75,0.5,1.0,1.0,0.0,0.0,2.4925
frontier_dropout,0.75,0.75,1.0,1.0,0.0,0.0,1.55
frontier_dropout,0.75,1.0,1.0,1.0,0.0,0.0,1.0
frontier_dropout,1.0,0.25,1.0,1.0,0.0,0.0,2.125833
frontier_dropout,1.0,0.5,1.0,1.0,0.0,0.0,2.4925
frontier_dropout,1.0,0.75,1.0,1.0,0.0,0.0,1.55
frontier_dropout,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ledger_failure,0.0,0.25,0.0,0.0,0.0,0.0,2.125833
ledger_failure,0.0,0.5,0.0,0.0,0.0,0.0,2.4925
ledger_failure,0.0,0.75,0.0,0.0,0.0,0.0,1.55
ledger_failure,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ledger_failure,0.25,0.25,0.439167,0.439167,0.0,0.0,2.125833
ledger_failure,0.25,0.5,0.439167,0.439167,0.0,0.0,2.4925
ledger_failure,0.25,0.75,0.816667,0.816667,0.0,0.0,1.55
ledger_failure,0.25,1.0,1.0,1.0,0.0,0.0,1.0
ledger_failure,0.5,0.25,0.439167,0.439167,0.0,0.0,2.125833
ledger_failure,0.5,0.5,0.439167,0.439167,0.0,0.0,2.4925
ledger_failure,0.5,0.75,0.816667,0.816667,0.0,0.0,1.55
ledger_failure,0.5,1.0,1.0,1.0,0.0,0.0,1.0
ledger_failure,0.75,0.25,0.439167,0.816667,-0.3775,0.0,2.125833
ledger_failure,0.75,0.5,0.439167,0.816667,-0.3775,0.0,2.4925
ledger_failure,0.75,0.75,0.816667,0.816667,0.0,0.0,1.55
ledger_failure,0.75,1.0,1.0,1.0,0.0,0.0,1.0
ledger_failure,1.0,0.25,0.439167,1.0,-0.560833,0.0,2.125833
ledger_failure,1.0,0.5,0.439167,1.0,-0.560833,0.0,2.4925
ledger_failure,1.0,0.75,0.816667,1.0,-0.183333,0.0,1.55
ledger_failure,1.0,1.0,1.0,1.0,0.0,0.0,1.0
orientation_degradation,0.0,0.25,0.0,0.0,0.0,0.0,2.125833
orientation_degradation,0.0,0.5,0.0,0.0,0.0,0.0,2.4925
orientation_degradation,0.0,0.75,0.0,0.0,0.0,0.0,1.55
orientation_degradation,0.0,1.0,0.0,0.0,0.0,0.0,1.0
orientation_degradation,0.25,0.25,0.439167,0.439167,0.0,0.0,2.125833
orientation_degradation,0.25,0.5,0.439167,0.439167,0.0,0.0,2.4925
orientation_degradation,0.25,0.75,0.816667,0.816667,0.0,0.0,1.55
orientation_degradation,0.25,1.0,1.0,1.0,0.0,0.0,1.0
orientation_degradation,0.5,0.25,0.439167,0.439167,0.0,0.0,2.125833
orientation_degradation,0.5,0.5,0.439167,0.439167,0.0,0.0,2.4925
orientation_degradation,0.5,0.75,0.816667,0.816667,0.0,0.0,1.55
orientation_degradation,0.5,1.0,1.0,1.0,0.0,0.0,1.0
orientation_degradation,0.75,0.25,0.439167,0.816667,-0.3775,0.0,2.125833
orientation_degradation,0.75,0.5,0.439167,0.816667,-0.3775,0.0,2.4925
orientation_degradation,0.75,0.75,0.816667,0.816667,0.0,0.0,1.55
orientation_degradation,0.75,1.0,1.0,1.0,0.0,0.0,1.0
orientation_degradation,1.0,0.25,0.439167,1.0,-0.560833,0.0,2.125833
orientation_degradation,1.0,0.5,0.439167,1.0,-0.560833,0.0,2.4925
orientation_degradation,1.0,0.75,0.816667,1.0,-0.183333,0.0,1.55
orientation_degradation,1.0,1.0,1.0,1.0,0.0,0.0,1.0
selector_stress,0.0,0.25,0.0,0.0,0.0,0.0,2.125833
selector_stress,0.0,0.5,0.0,0.0,0.0,0.0,2.4925
selector_stress,0.0,0.75,0.0,0.0,0.0,0.0,1.55
selector_stress,0.0,1.0,0.0,0.0,0.0,0.0,1.0
selector_stress,0.25,0.25,0.0,0.0,0.0,0.0,2.125833
selector_stress,0.25,0.5,0.0,0.0,0.0,0.0,2.4925
selector_stress,0.25,0.75,0.0,0.0,0.0,0.0,1.55
selector_stress,0.25,1.0,0.0,0.0,0.0,0.0,1.0
selector_stress,0.5,0.25,0.0,0.0,0.0,0.0,2.125833
selector_stress,0.5,0.5,0.0,0.0,0.0,0.0,2.4925
selector_stress,0.5,0.75,0.0,0.0,0.0,0.0,1.55
selector_stress,0.5,1.0,0.0,0.0,0.0,0.0,1.0
selector_stress,0.75,0.25,0.0,0.0,0.0,0.0,2.125833
selector_stress,0.75,0.5,0.0,0.0,0.0,0.0,2.4925
selector_stress,0.75,0.75,0.0,0.0,0.0,0.0,1.55
selector_stress,0.75,1.0,0.0,0.0,0.0,0.0,1.0
selector_stress,1.0,0.25,0.0,0.0,0.0,0.0,2.125833
selector_stress,1.0,0.5,0.0,0.0,0.0,0.0,2.4925
selector_stress,1.0,0.75,0.0,0.0,0.0,0.0,1.55
selector_stress,1.0,1.0,0.0,0.0,0.0,0.0,1.0
support_delay,0.0,0.25,0.0,0.0,0.0,0.0,2.125833
support_delay,0.0,0.5,0.0,0.0,0.0,0.0,2.4925
support_delay,0.0,0.75,0.0,0.0,0.0,0.0,1.55
support_delay,0.0,1.0,0.0,0.0,0.0,0.0,1.0
support_delay,0.25,0.25,1.0,1.0,0.0,0.0,2.125833
support_delay,0.25,0.5,1.0,1.0,0.0,0.0,2.4925
support_delay,0.25,0.75,1.0,1.0,0.0,0.0,1.55
support_delay,0.25,1.0,1.0,1.0,0.0,0.0,1.0
support_delay,0.5,0.25,1.0,1.0,0.0,0.0,2.125833
support_delay,0.5,0.5,1.0,1.0,0.0,0.0,2.4925
support_delay,0.5,0.75,1.0,1.0,0.0,0.0,1.55
support_delay,0.5,1.0,1.0,1.0,0.0,0.0,1.0
support_delay,0.75,0.25,1.0,1.0,0.0,0.0,2.125833
support_delay,0.75,0.5,1.0,1.0,0.0,0.0,2.4925
support_delay,0.75,0.75,1.0,1.0,0.0,0.0,1.55
support_delay,0.75,1.0,1.0,1.0,0.0,0.0,1.0
support_delay,1.0,0.25,1.0,1.0,0.0,0.0,2.125833
support_delay,1.0,0.5,1.0,1.0,0.0,0.0,2.4925
support_delay,1.0,0.75,1.0,1.0,0.0,0.0,1.55
support_delay,1.0,1.0,1.0,1.0,0.0,0.0,1.0
