artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-MOTIF-ORIENTATION-LINK-SURFACE-LEAN-v1-2,RA_MotifOrientationLinkSurface.lean,lean,lean_build_confirmed_no_sorry_no_admit_no_axiom,formalization_module,RA-MOTIF-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_MotifOrientationLinkSurface.lean,ee5439ab1e2b45009a4b9b2aff36a9bd97a93ccf62083a270be64acc28f8e9b0,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_MotifOrientationLinkSurface.lean,Tier-B Lean module; lake build closed 8277/8277 jobs ~171s with 0 sorry/admit/axiom. Installed SHA differs from packet original (36ff4d97...) due to two compile-blocking fixes: orientationEvidence -> orientationComponent (field-name mismatch with v1.0 module) and DAGNativeCertificateComponentContext G Γ M F Ξ Ω -> DAGNativeCertificateComponentContext Ω (only Ω is explicit in v1.0; the rest are inferred). Same fix applied to Graph variant.,active RAKB v0.5 14-column artifact upsert,src/RA_AQFT/RA_MotifOrientationLinkSurface.lean,formalization_module
ART-SIM-ORIENTATION-LINK-SURFACE-ANALYSIS-v1-2,ra_orientation_link_surface.py,py,canonical_run_confirmed,analysis_source,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/analysis/ra_orientation_link_surface.py,12259b9073edf677017306fb0c510fba20758cab3fbae1653cbb8bb77d75ef11,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/analysis/ra_orientation_link_surface.py,Synthesizes orientation_link_overlap from row metadata; installed SHA matches packet original.,active RAKB v0.5 14-column artifact upsert,analysis/ra_orientation_link_surface.py,analysis_source
ART-SIM-ORIENTATION-LINK-SURFACE-RUNSCRIPT-v1-2,run_orientation_link_surface_v1_2.py,py,canonical_run_confirmed,analysis_source,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/scripts/run_orientation_link_surface_v1_2.py,6882832e755205fa5772c708f9a3b48828f95937b7d11fb086ddc5cd4ac89a0d,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/scripts/run_orientation_link_surface_v1_2.py,CLI wrapper.,active RAKB v0.5 14-column artifact upsert,scripts/run_orientation_link_surface_v1_2.py,analysis_source
ART-SIM-ORIENTATION-LINK-SURFACE-REPORT-v1-2,RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_Report_May05_2026.md,md,canonical_run_confirmed,formal_bridge_report,RA-MOTIF-ORIENTATION-LINK-SURFACE-001;RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_Report_May05_2026.md,33d0b71fd5d785b4c33f3334d6876103438914839009582fd0d7fe84fe43e09d,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_Report_May05_2026.md,Packet narrative report.,active RAKB v0.5 14-column artifact upsert,reports/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_Report_May05_2026.md,formal_bridge_report
ART-SIM-ORIENTATION-LINK-SURFACE-BRIDGE-v1-2,simulator_to_lean_orientation_link_surface_v1_2.md,md,canonical_run_confirmed,bridge_mapping,RA-MOTIF-ORIENTATION-LINK-SURFACE-001;RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/bridge/simulator_to_lean_orientation_link_surface_v1_2.md,4223731fc331618733a57a25b389f6dd3a9a582210f94b24f9c44497301d4cb6,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/bridge/simulator_to_lean_orientation_link_surface_v1_2.md,Simulator-to-Lean mapping for orientation-link surface.,active RAKB v0.5 14-column artifact upsert,bridge/simulator_to_lean_orientation_link_surface_v1_2.md,bridge_mapping
ART-SIM-ORIENTATION-LINK-SURFACE-VALIDATION-v1-2,validation_unittest_v1_2.log,log,canonical_run_confirmed,validation_log,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/reports/validation_unittest_v1_2.log,a9bc70d2637f02896579962c73fcae1cb06d37d8fd8523de0ed5c00d58e1bb3e,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/reports/validation_unittest_v1_2.log,5 unit tests covering orientation_surface_decouples_from_support / partial_correlation_detects_new_variation / orientation_degradation_sensitive_to_orientation_surface / selector_stress_guardrail / end_to_end. All pass.,active RAKB v0.5 14-column artifact upsert,reports/validation_unittest_v1_2.log,validation_log
ART-SIM-ORIENTATION-LINK-SURFACE-SOURCE-AUDIT-v1-2,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_2_May05_2026.log,log,generated_source_audit,source_audit,RA-MOTIF-ORIENTATION-LINK-SURFACE-001;RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_2_May05_2026.log,1790b81c16834fb66dd3d68ebc4f3aa199ce0546060fe62ed412c205e00134df,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_2_May05_2026.log,Source audit log.,active RAKB v0.5 14-column artifact upsert,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_2_May05_2026.log,source_audit
ART-SIM-ORIENTATION-LINK-SURFACE-SURFACE-CSV-v1-2,ra_orientation_link_surface_v1_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_orientation_link_surface_v1_2.csv,8c75d54995d5b4ab01441ea072404c6c75356b51b82c03035f9b59e3dbf774f1,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_orientation_link_surface_v1_2.csv,Synthesized orientation_link_overlap surface (480 rows; orientation_link_overlap independent of support/frontier).,active RAKB v0.5 14-column artifact upsert,outputs/ra_orientation_link_surface_v1_2.csv,analysis_output
ART-SIM-ORIENTATION-LINK-SURFACE-DECOUPLING-v1-2,ra_orientation_support_decoupling_audit_v1_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_orientation_support_decoupling_audit_v1_2.csv,e43af00a5452b60f921298d6b23d86f6a43b43bb22d9be6cc4e12397f3d729e3,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_orientation_support_decoupling_audit_v1_2.csv,"Orientation-vs-support decoupling table; max_abs_diff 0.82-0.92 by mode (vs old triplet 0.0).",active RAKB v0.5 14-column artifact upsert,outputs/ra_orientation_support_decoupling_audit_v1_2.csv,analysis_output
ART-SIM-ORIENTATION-LINK-SURFACE-MATCHED-STRATA-v1-2,ra_orientation_matched_strata_v1_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_orientation_matched_strata_v1_2.csv,79be53e7dd1358d5d8f9d8a2c4e2fbb9f9b443a2be5093e9ddbc5a98b69e7820,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_orientation_matched_strata_v1_2.csv,"Matched-strata table; all 3 orientation_link_bins present in every support_frontier_bin; orientation_degradation rescue gap +0.02 to +0.23 across cells.",active RAKB v0.5 14-column artifact upsert,outputs/ra_orientation_matched_strata_v1_2.csv,analysis_output
ART-SIM-ORIENTATION-LINK-SURFACE-SPECIFICITY-v1-2,ra_orientation_specificity_after_support_control_v1_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_orientation_specificity_after_support_control_v1_2.csv,0c24612164ae40b30d7a9b37af9c769bb71787e4310c2bb039eecb813a270f1d,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_orientation_specificity_after_support_control_v1_2.csv,Per-cell specificity verdict; orientation_degradation -> orientation_specific_surface_detected; ledger_failure -> ledger_control_not_resolved; selector_stress -> not_certification_channel.,active RAKB v0.5 14-column artifact upsert,outputs/ra_orientation_specificity_after_support_control_v1_2.csv,analysis_output
ART-SIM-ORIENTATION-LINK-SURFACE-LEDGER-COMPARISON-v1-2,ra_ledger_orientation_specificity_v1_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_ledger_orientation_specificity_v1_2.csv,bbf2a8ca1438954e1fc8766a879b7d0b39e8d0804ca8d2fdf4fd76dc5e6bd597,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_ledger_orientation_specificity_v1_2.csv,Ledger vs orientation specificity comparison; orientation_specificity_resolved for orientation_degradation.,active RAKB v0.5 14-column artifact upsert,outputs/ra_ledger_orientation_specificity_v1_2.csv,analysis_output
ART-SIM-ORIENTATION-LINK-SURFACE-RANK-v1-2,ra_component_overlap_rank_by_mode_v1_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_component_overlap_rank_by_mode_v1_2.csv,147c9df9972cc9b24d198299ab91e8319e10f9dc8681a622d62b58b68112ffb4,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_component_overlap_rank_by_mode_v1_2.csv,Component residual_std after support+frontier control; orientation_link_overlap=0.222 (independent); legacy orientation_overlap=1.2e-15 (still confounded).,active RAKB v0.5 14-column artifact upsert,outputs/ra_component_overlap_rank_by_mode_v1_2.csv,analysis_output
ART-SIM-ORIENTATION-LINK-SURFACE-ABLATION-v1-2,ra_orientation_ablation_after_support_control_v1_2.csv,csv,canonical_run_validated,analysis_output,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_orientation_ablation_after_support_control_v1_2.csv,b691285be582404a735a8e99976541f1534b7f11c864797ce7f0ac4fa0523a10,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_orientation_ablation_after_support_control_v1_2.csv,Ablation residual table.,active RAKB v0.5 14-column artifact upsert,outputs/ra_orientation_ablation_after_support_control_v1_2.csv,analysis_output
ART-SIM-ORIENTATION-LINK-SURFACE-SUMMARY-CSV-v1-2,ra_native_orientation_surface_summary_v1_2.csv,csv,canonical_run_validated,analysis_summary,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_native_orientation_surface_summary_v1_2.csv,02c03a05da255957298618f93d30958bd8afa8ea9195ba47e44bb1007fff4f64,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_native_orientation_surface_summary_v1_2.csv,Single-row canonical summary CSV.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_orientation_surface_summary_v1_2.csv,analysis_summary
ART-SIM-ORIENTATION-LINK-SURFACE-SUMMARY-MD-v1-2,ra_native_orientation_surface_summary_v1_2.md,md,canonical_run_validated,analysis_summary,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_native_orientation_surface_summary_v1_2.md,3d0473c0b10027978e544635ea170fc86bafe3d6a0d93278fcd23ab1eb9c2fe8,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_native_orientation_surface_summary_v1_2.md,Canonical summary MD anchoring framing entry.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_orientation_surface_summary_v1_2.md,analysis_summary
ART-SIM-ORIENTATION-LINK-SURFACE-STATE-v1-2,ra_native_orientation_surface_state_v1_2.json,json,canonical_run_validated,analysis_summary,RA-SIM-ORIENTATION-LINK-SURFACE-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_native_orientation_surface_state_v1_2.json,45b7ad851645d5810bc3e633483a1d9a7872cfc8bcc0cb4de2e355044d5b462e,d4b9c1a6aba6f4487da0cf9080f120254f01c39c,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_May05_2026/outputs/ra_native_orientation_surface_state_v1_2.json,Canonical state JSON.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_orientation_surface_state_v1_2.json,analysis_summary
